age,annual_income,loan_amount,loan_term_months,credit_score,debt_to_income_ratio,employment_years,num_open_accounts,num_derogatory_marks,late_payments_2yr,loan_purpose,default
43,46963.99,29794.58,36,708,0.5696,2.0,14,1,0,business,0
46,79543.07,16815.56,24,599,0.1966,0.6,10,0,0,personal,0
48,70293.12,20151.97,36,737,0.2461,0.8,10,0,0,business,0
63,97217.29,17336.15,24,727,0.2201,5.6,14,3,1,debt_consolidation,0
49,75742.96,14418.88,48,719,0.2824,3.1,2,0,0,business,0
37,20000.0,4176.69,12,815,0.2702,0.7,4,0,1,home_improvement,0
36,86566.18,6315.41,60,592,0.5016,0.9,1,0,0,debt_consolidation,1
24,95740.73,2590.63,48,712,0.0102,2.9,11,1,1,home_improvement,0
58,63423.01,18090.6,24,672,0.2324,0.5,15,0,0,debt_consolidation,0
28,68696.97,19742.83,36,651,0.2129,0.4,3,0,0,education,0
42,68777.13,6435.65,12,666,0.3787,1.3,7,0,1,business,0
30,50367.0,9880.7,12,720,0.3788,4.3,15,0,0,personal,0
60,126737.51,14351.56,36,773,0.2731,5.9,6,1,1,business,0
39,45439.93,27442.22,48,625,0.3366,9.4,2,1,0,business,0
25,88198.7,12229.48,48,752,0.3664,1.1,10,1,0,debt_consolidation,0
46,88083.69,27492.73,60,640,0.1725,2.0,13,0,0,personal,0
35,53553.49,1000.0,12,696,0.1034,1.4,10,0,1,business,0
30,41590.24,22905.22,60,831,0.3274,7.9,8,0,1,home_improvement,0
47,62338.14,4214.41,24,765,0.097,4.8,3,0,0,personal,0
23,82432.37,13992.86,36,654,0.4642,1.2,11,0,0,education,0
41,72669.56,7709.27,60,716,0.3946,10.4,12,1,0,home_improvement,0
49,110396.32,12995.3,60,654,0.2376,11.9,8,0,0,education,0
28,50308.86,12859.57,60,640,0.0779,7.9,14,1,0,business,0
29,50915.44,9104.17,24,702,0.2159,11.0,16,0,0,education,0
56,87042.04,14518.03,24,803,0.0792,8.5,16,0,1,debt_consolidation,0
35,23292.22,16168.35,24,657,0.3607,1.9,2,0,0,personal,0
38,50922.02,5625.26,60,714,0.3197,9.9,9,1,0,debt_consolidation,0
57,61734.79,7041.25,48,789,0.219,1.6,8,0,1,education,0
61,64643.81,26100.23,36,712,0.2859,4.2,3,0,0,personal,0
25,52307.69,14474.9,36,656,0.5167,11.0,9,0,0,debt_consolidation,0
23,20000.0,15566.54,24,612,0.1603,9.0,9,1,0,debt_consolidation,0
27,100367.15,8173.62,12,507,0.0515,1.0,18,0,0,home_improvement,0
63,99048.57,16007.04,12,836,0.6684,4.1,4,0,0,debt_consolidation,0
25,23387.21,10434.4,60,603,0.172,0.9,9,1,0,personal,0
50,81845.84,19566.39,60,553,0.2024,0.4,17,0,1,education,0
39,61622.8,11082.17,36,635,0.0884,5.9,6,1,1,personal,0
47,78986.59,12960.68,36,724,0.3332,6.0,16,0,0,education,0
55,72014.98,31310.82,36,524,0.2842,6.9,19,2,0,business,0
31,28568.57,19103.69,12,735,0.4847,7.8,3,0,2,business,0
57,85050.75,13370.37,60,650,0.1974,2.4,1,0,1,personal,0
35,51200.69,15267.34,36,750,0.3365,7.3,1,0,0,education,0
52,20000.0,24338.92,12,602,0.2054,2.9,7,0,1,home_improvement,0
36,69980.06,6197.4,36,577,0.1642,6.1,10,0,0,education,0
29,25920.27,14850.24,36,615,0.5361,1.4,16,1,0,debt_consolidation,1
35,93619.33,15156.51,36,816,0.3575,3.3,2,1,0,personal,0
44,57724.61,16314.9,36,656,0.0908,2.1,1,0,1,education,0
61,66973.12,10549.62,48,608,0.1192,1.2,3,0,0,business,0
42,77992.04,13068.63,36,567,0.2332,0.3,7,0,4,personal,0
37,67623.4,1000.0,36,736,0.207,2.1,16,0,0,education,0
39,50224.26,19758.62,36,693,0.2366,17.5,14,0,0,home_improvement,0
45,93239.51,8380.04,48,721,0.2549,0.3,7,0,0,personal,0
47,62286.13,30071.95,48,643,0.2625,1.3,2,0,2,debt_consolidation,0
46,36895.24,15160.98,48,809,0.3333,5.0,9,0,1,home_improvement,0
62,73869.53,6784.21,24,609,0.0682,1.2,18,0,0,business,0
50,62987.25,2974.65,12,774,0.3092,12.0,7,1,1,education,0
36,64426.17,12779.75,60,711,0.3577,3.1,5,0,0,education,0
22,68143.76,18582.35,60,702,0.2917,3.8,9,0,0,business,1
46,66399.46,18649.18,48,850,0.3097,5.0,10,0,1,personal,0
28,101437.14,7370.46,36,679,0.2622,1.0,15,0,0,home_improvement,0
30,44973.82,40832.35,48,836,0.196,11.1,18,0,0,home_improvement,0
45,20000.0,22810.94,36,581,0.4878,9.9,17,1,0,debt_consolidation,0
22,65014.7,26041.95,48,654,0.2622,10.0,19,0,1,debt_consolidation,0
29,85796.16,17774.21,36,703,0.1261,4.5,14,0,0,debt_consolidation,0
45,25895.21,6915.47,48,588,0.1447,9.1,7,0,0,personal,0
32,74113.27,16074.77,60,750,0.3453,3.7,10,1,0,business,0
38,29834.2,13800.58,12,636,0.3669,1.4,9,0,0,debt_consolidation,0
29,86094.0,21315.6,36,630,0.2461,14.3,15,1,0,business,0
56,65269.72,11886.63,12,713,0.2661,13.7,3,1,0,debt_consolidation,0
56,43003.48,12719.94,48,629,0.2543,0.6,14,0,0,home_improvement,0
54,24911.72,1000.0,24,639,0.1686,0.1,10,0,0,home_improvement,0
26,119526.96,16577.39,12,613,0.0579,2.0,2,1,1,home_improvement,0
63,122631.11,7881.08,60,692,0.1133,3.7,2,0,1,education,0
60,38023.38,13709.13,60,749,0.2393,4.3,15,0,0,personal,0
62,37434.65,12758.53,36,715,0.1737,23.3,3,0,1,home_improvement,0
49,66977.08,4053.09,24,716,0.453,2.5,15,0,0,education,0
28,55359.81,10744.64,60,669,0.0603,2.1,19,0,2,personal,0
30,56847.91,10022.56,36,708,0.1151,0.4,4,0,0,debt_consolidation,0
29,72093.33,17621.99,36,823,0.521,3.4,17,0,0,education,0
33,112943.58,8576.85,12,654,0.2395,3.3,17,2,0,home_improvement,0
55,99052.66,19734.3,24,700,0.3553,4.1,9,1,1,personal,0
54,56993.61,19258.2,24,561,0.4974,7.0,3,0,0,education,0
44,83052.85,10995.11,36,606,0.0623,0.0,9,0,0,business,0
45,20000.0,13661.01,36,642,0.4934,1.4,2,0,0,debt_consolidation,0
58,68397.5,16785.84,48,713,0.3023,0.7,19,0,0,education,0
56,59083.78,11013.41,24,627,0.2382,5.5,16,1,1,education,0
61,89086.37,18006.54,36,494,0.0768,9.5,4,1,0,business,0
43,80548.26,22158.67,36,627,0.2449,0.1,13,0,0,debt_consolidation,1
48,72721.96,24501.33,36,555,0.1538,6.7,19,0,0,business,0
56,76506.14,23494.4,24,588,0.104,11.6,5,1,0,business,0
22,54161.4,16199.63,48,752,0.4765,6.1,5,0,2,home_improvement,0
56,89191.12,9942.23,48,751,0.5187,7.3,3,1,0,education,0
58,76503.43,25037.46,48,617,0.6353,3.2,11,0,0,home_improvement,0
35,60943.84,14501.95,36,671,0.1726,3.7,14,1,2,debt_consolidation,1
24,67468.56,17919.6,12,763,0.207,19.7,14,0,0,debt_consolidation,0
22,86102.25,1000.0,60,631,0.2139,2.0,14,1,0,home_improvement,0
26,88467.33,29081.0,60,593,0.1676,2.9,13,1,0,debt_consolidation,0
47,56444.0,28064.61,12,629,0.2661,11.9,3,0,0,personal,0
35,42657.06,5789.6,24,746,0.3664,11.8,12,0,1,debt_consolidation,0
60,53608.79,12239.41,24,603,0.2545,5.4,18,1,0,personal,0
48,54896.8,10746.01,60,524,0.0447,3.3,13,0,1,home_improvement,1
30,68081.31,2925.61,12,703,0.37,7.4,1,1,0,home_improvement,0
36,94935.51,8368.21,48,761,0.2196,2.2,11,0,0,home_improvement,0
36,53236.69,32454.54,24,618,0.26,6.4,7,0,0,education,0
47,74700.48,17839.64,48,771,0.4126,3.5,4,0,0,debt_consolidation,0
63,60394.32,26033.42,36,769,0.1758,1.3,3,1,1,business,0
34,65477.83,14686.76,60,636,0.2197,5.4,10,1,1,personal,0
53,72574.05,1000.0,48,608,0.1098,3.3,2,2,0,home_improvement,0
60,95039.78,12852.37,48,733,0.0945,6.1,17,1,0,business,0
53,71183.65,14356.79,36,845,0.1702,4.0,10,0,1,personal,0
25,20000.0,11864.63,48,766,0.1404,4.6,2,1,1,home_improvement,0
51,60022.05,1024.97,48,776,0.1884,3.5,1,1,0,personal,0
58,104227.58,21918.51,24,746,0.3789,9.6,14,1,0,home_improvement,1
44,93552.08,7288.97,12,731,0.5042,1.4,15,1,1,business,0
60,84765.72,11625.56,48,730,0.1786,7.7,6,2,1,personal,0
36,94483.44,21017.9,12,719,0.245,0.3,9,0,0,education,0
64,85600.57,7580.07,48,494,0.219,13.8,14,0,2,education,0
50,93998.73,14998.38,48,828,0.3129,1.1,1,0,0,debt_consolidation,0
57,37062.43,18112.04,24,633,0.4161,7.5,4,0,0,education,0
34,63503.52,30997.6,60,724,0.6174,4.1,6,1,0,business,0
53,68688.85,13427.23,36,755,0.5184,1.4,19,0,1,personal,0
28,66351.17,21192.27,48,579,0.5593,1.7,3,0,1,debt_consolidation,0
43,50573.32,11913.24,48,755,0.4774,0.0,7,0,0,home_improvement,0
49,68658.01,27566.78,24,574,0.2675,3.2,11,0,1,debt_consolidation,0
23,22494.18,1000.0,60,741,0.2004,7.0,7,1,0,education,0
63,76329.15,3471.97,36,670,0.0497,4.4,11,0,0,home_improvement,0
27,48155.32,16053.8,24,684,0.2162,6.0,12,1,0,personal,0
49,20000.0,10544.68,36,696,0.5315,3.1,16,1,2,personal,0
49,65412.85,20180.47,24,643,0.4067,14.2,3,0,1,home_improvement,0
41,103702.87,21323.77,24,746,0.2675,16.7,9,0,0,business,0
51,20000.0,1000.0,48,691,0.074,2.1,4,0,1,business,0
32,58923.91,23453.54,48,664,0.4808,1.7,15,0,0,personal,1
49,24447.23,17265.5,12,757,0.4826,8.1,7,0,0,business,0
46,71426.36,30277.26,12,688,0.5826,6.4,3,0,1,personal,0
60,86776.03,11005.81,60,667,0.2002,0.6,1,0,0,debt_consolidation,0
54,44768.99,20987.76,12,735,0.2833,2.1,12,0,0,personal,0
22,54409.68,19858.36,36,601,0.2405,2.8,18,0,0,home_improvement,0
48,61282.94,26887.39,12,721,0.231,13.3,9,0,0,education,0
34,95985.21,1000.0,60,753,0.2715,1.7,8,0,0,personal,0
62,30045.71,2381.87,12,661,0.4289,4.6,10,0,0,debt_consolidation,0
24,53653.11,23346.51,48,587,0.1576,0.5,10,0,0,home_improvement,0
60,104267.74,26438.89,24,655,0.5595,0.7,7,2,0,home_improvement,1
27,46816.13,20564.66,12,624,0.1258,3.9,2,0,1,debt_consolidation,0
29,55137.46,4953.06,48,702,0.1844,2.7,11,0,1,personal,0
48,69503.25,12508.3,24,704,0.1707,3.1,2,1,0,education,0
30,123179.3,23245.49,12,749,0.2812,0.6,12,0,0,debt_consolidation,0
58,37065.67,12707.91,60,707,0.3073,15.9,3,1,0,debt_consolidation,0
54,83883.98,13904.61,36,709,0.1119,1.8,19,1,0,business,0
63,35305.18,26399.44,36,642,0.248,0.9,8,0,1,personal,0
45,39811.27,19692.53,48,484,0.2832,2.3,13,0,0,business,0
36,52163.99,15736.11,24,669,0.4797,2.8,9,0,0,debt_consolidation,0
53,76621.07,18074.66,12,550,0.1267,0.6,8,0,1,debt_consolidation,0
53,51256.47,20766.56,12,698,0.2365,11.0,3,0,1,personal,0
45,68322.87,14309.74,48,822,0.5905,1.2,8,0,0,home_improvement,0
62,47062.59,19499.33,12,606,0.3857,3.1,14,0,0,debt_consolidation,0
33,67037.2,8065.7,36,715,0.3095,2.9,7,0,0,personal,1
60,32557.46,21796.67,48,763,0.1163,4.0,10,1,1,home_improvement,1
23,33179.02,11753.25,12,658,0.3603,0.2,2,0,0,home_improvement,0
24,52161.62,8503.55,24,827,0.2955,0.2,13,0,2,education,0
58,80277.08,24575.69,12,821,0.458,5.3,2,0,0,personal,0
38,69844.91,17810.78,60,628,0.5349,0.2,12,0,1,business,0
23,45640.67,16978.57,48,640,0.3146,3.3,3,0,0,education,0
23,36710.76,18621.04,12,786,0.2164,0.5,14,0,0,debt_consolidation,0
49,90845.26,2492.06,48,567,0.1954,9.0,3,0,0,debt_consolidation,0
44,99081.08,20944.78,48,569,0.5664,12.7,1,0,1,home_improvement,0
58,77693.11,13878.11,24,557,0.4875,2.9,17,0,0,business,0
53,73888.56,27574.22,24,678,0.1835,4.4,18,0,0,personal,0
54,20000.0,34863.17,36,753,0.1223,4.9,17,0,0,debt_consolidation,0
22,79840.99,17700.34,36,558,0.4437,22.0,7,1,0,home_improvement,0
40,104710.37,18567.14,48,654,0.0332,1.4,13,0,0,business,0
23,91805.33,16513.63,60,760,0.3787,7.8,17,0,0,education,0
47,90451.42,1000.0,24,768,0.1544,2.2,3,0,0,business,0
53,23616.91,2913.76,60,560,0.3264,0.4,3,1,0,debt_consolidation,0
27,47392.19,4971.57,60,788,0.1614,1.8,12,0,0,debt_consolidation,0
53,61379.01,20244.16,48,487,0.3309,3.8,8,2,0,education,1
25,47208.88,27185.02,36,733,0.2818,0.3,8,0,1,education,0
32,36003.12,18916.4,24,641,0.4088,1.1,3,0,0,education,0
38,75477.9,5230.47,24,706,0.2587,0.9,5,1,1,debt_consolidation,0
59,89918.54,1000.0,48,737,0.2139,0.9,5,2,1,home_improvement,0
45,30090.04,11226.13,60,776,0.2555,1.5,12,0,0,personal,0
26,90947.95,11631.22,60,517,0.429,3.8,1,0,0,business,0
55,70581.33,21201.33,24,720,0.1325,2.1,5,0,0,personal,0
27,105575.83,23715.56,24,711,0.289,15.6,8,0,0,education,0
43,84870.77,16346.56,24,723,0.314,9.5,13,1,0,education,0
32,68247.35,5793.11,12,629,0.1918,1.1,14,0,0,debt_consolidation,0
37,68443.28,15499.86,24,702,0.0807,3.1,8,0,0,personal,0
54,65053.26,1000.0,60,589,0.2134,1.1,12,0,1,business,0
30,110464.45,12864.61,48,675,0.1844,0.7,2,0,0,business,0
27,80301.36,24465.89,24,703,0.1946,1.9,18,0,0,education,0
37,55800.38,13852.7,24,647,0.3258,10.4,15,0,0,business,0
50,79231.98,25476.18,24,663,0.2897,5.4,6,0,1,debt_consolidation,0
24,76652.18,11809.24,60,735,0.1286,5.9,17,1,0,education,0
41,54429.54,18989.72,12,672,0.2126,7.4,12,0,0,personal,1
57,44496.3,3619.83,60,547,0.2087,4.3,8,0,0,home_improvement,0
40,94548.85,18287.48,24,693,0.2322,4.1,9,1,0,business,0
47,58440.08,14486.29,12,576,0.59,2.1,12,0,0,business,0
24,57036.29,11645.86,36,589,0.4504,15.2,2,0,0,education,0
40,79545.47,24688.21,60,790,0.5588,1.1,8,0,0,debt_consolidation,0
41,52055.59,18955.33,60,602,0.5006,1.9,7,0,2,personal,1
53,70716.0,11837.22,48,659,0.1071,2.7,7,1,0,home_improvement,0
28,55493.93,25413.67,12,680,0.0949,1.5,1,2,0,debt_consolidation,0
62,20000.0,31861.75,24,738,0.2171,7.8,18,0,0,debt_consolidation,0
54,74658.76,6059.86,12,582,0.4324,5.5,15,1,0,debt_consolidation,0
61,71545.57,12410.57,24,794,0.3529,7.7,11,0,2,education,0
60,73845.65,16531.37,24,596,0.351,2.8,4,1,1,debt_consolidation,0
39,20000.0,36924.42,24,690,0.1677,17.7,14,0,1,debt_consolidation,0
61,31233.1,9149.1,48,540,0.4596,3.2,11,0,1,business,0
22,94063.04,13646.2,60,593,0.1511,0.2,3,0,0,education,0
32,66847.55,25060.27,36,680,0.2375,6.2,13,0,0,business,0
49,20000.0,26528.34,48,599,0.2227,16.0,4,2,0,business,0
46,67114.75,6456.54,24,674,0.2822,6.4,5,1,1,home_improvement,0
44,25755.07,16369.59,60,383,0.1989,6.6,19,0,1,personal,0
52,50667.64,12681.99,36,663,0.0769,14.2,18,1,0,personal,0
51,71339.49,1000.0,36,752,0.3143,5.3,7,0,1,personal,0
63,71375.58,8088.34,48,703,0.1599,3.9,11,0,1,debt_consolidation,0
56,90171.36,20848.76,24,850,0.2018,2.2,9,0,0,personal,0
28,76631.8,10097.26,12,619,0.4645,4.5,1,1,0,business,0
37,78206.89,23156.6,36,641,0.1819,1.9,1,0,0,education,0
47,55463.24,18891.18,24,673,0.663,1.2,4,0,1,debt_consolidation,0
23,43740.02,16475.63,24,580,0.1336,10.5,17,0,0,business,0
22,66223.06,12183.92,36,785,0.5579,4.6,14,0,0,education,0
33,90502.31,16400.3,48,506,0.3462,0.2,17,0,0,education,0
26,85651.63,24483.69,48,619,0.3497,7.7,16,0,1,debt_consolidation,0
58,59972.34,1000.0,12,753,0.0589,0.8,13,0,0,personal,0
53,63508.96,5661.14,36,738,0.3276,16.1,5,0,0,education,0
30,42440.46,25426.51,48,668,0.3548,2.3,11,1,0,debt_consolidation,0
62,93762.66,1000.0,48,654,0.3679,1.1,11,1,1,business,0
56,105377.99,6081.52,60,696,0.3383,0.7,4,0,0,business,0
40,75983.21,19246.32,24,603,0.4242,4.8,18,0,0,debt_consolidation,0
37,24107.84,17032.74,60,728,0.1334,1.4,8,0,0,personal,0
24,81834.98,9191.97,60,656,0.6058,4.0,11,0,0,debt_consolidation,0
41,106363.21,21823.34,60,590,0.1344,0.2,16,0,1,education,0
45,37037.63,3148.56,24,656,0.2113,6.3,4,0,1,debt_consolidation,0
54,86146.17,36728.33,36,687,0.1858,7.0,6,1,0,debt_consolidation,0
45,60299.79,20474.01,24,697,0.1788,12.5,16,0,0,home_improvement,0
32,96096.13,14579.58,48,708,0.1665,6.6,9,0,1,debt_consolidation,0
29,36055.7,25005.75,60,562,0.2737,2.7,13,0,1,business,0
57,54158.32,22891.18,24,651,0.0176,3.5,15,0,0,business,0
59,25801.95,23781.4,12,740,0.2718,4.0,13,0,0,personal,0
61,73488.43,13208.9,24,707,0.0794,4.4,3,1,1,debt_consolidation,0
41,78827.56,2554.52,24,646,0.0834,0.9,15,0,0,home_improvement,0
56,73599.2,23634.09,24,843,0.5189,8.3,10,1,1,home_improvement,0
46,52106.98,22038.33,12,605,0.1903,1.3,19,0,0,debt_consolidation,0
56,54014.65,21871.94,60,755,0.365,1.7,3,0,0,business,0
46,56819.92,9108.42,12,659,0.1843,2.7,2,1,1,home_improvement,0
50,87132.86,22832.47,60,649,0.7377,0.2,2,0,0,business,1
39,28684.05,11574.44,24,608,0.3446,0.5,18,0,1,education,0
39,56486.03,25389.19,36,647,0.0414,5.6,18,0,0,personal,0
23,28191.84,14059.13,36,562,0.3426,4.7,10,1,0,home_improvement,0
56,54769.17,4927.28,48,538,0.1761,11.3,11,1,1,home_improvement,0
37,64644.42,7336.47,36,740,0.2742,3.9,3,1,0,debt_consolidation,0
62,117511.52,10134.66,12,850,0.1953,6.5,9,1,0,education,0
57,48307.2,25305.55,60,674,0.781,2.2,14,0,0,education,0
54,90676.76,14567.48,24,766,0.2313,18.8,5,1,0,business,0
25,22241.42,11734.85,36,734,0.2175,7.7,17,0,0,personal,0
54,65994.84,36216.42,12,648,0.3046,5.4,8,0,0,business,0
35,65940.64,13129.84,48,702,0.205,4.2,6,0,1,personal,0
42,83630.98,6720.54,48,697,0.2582,2.6,12,0,0,debt_consolidation,0
41,51344.83,33437.73,24,705,0.1588,4.3,10,0,0,personal,0
29,45377.41,9157.16,36,575,0.4339,2.6,3,0,1,home_improvement,0
28,20000.0,5827.39,60,762,0.1697,7.6,1,0,2,education,0
24,73276.19,24556.45,36,693,0.7633,0.5,19,0,1,debt_consolidation,0
38,48948.52,8582.95,24,691,0.1761,30.4,15,0,0,education,0
54,90635.87,12853.87,24,638,0.2664,1.1,16,0,0,debt_consolidation,0
33,77794.33,16486.15,48,756,0.1615,7.3,17,0,0,debt_consolidation,0
43,94637.41,12634.13,48,643,0.2785,1.9,1,0,1,home_improvement,0
43,43161.67,13220.43,12,652,0.1656,2.8,17,0,1,personal,0
51,70113.03,19818.09,36,664,0.3369,0.4,13,0,1,home_improvement,0
59,69748.88,13909.78,48,637,0.1633,4.1,12,0,0,home_improvement,0
59,52597.15,8161.52,24,535,0.486,12.2,17,0,0,debt_consolidation,0
29,95759.18,13629.2,12,704,0.3977,3.8,9,0,0,home_improvement,0
48,84533.42,24392.78,36,708,0.2562,0.8,9,0,0,debt_consolidation,0
48,115768.49,11355.52,60,850,0.2295,3.7,3,0,1,education,0
55,82366.36,22769.96,60,622,0.2762,14.1,6,0,0,business,0
42,111722.13,16704.92,36,655,0.0917,7.8,1,0,0,home_improvement,0
51,111153.43,11514.21,12,709,0.2505,6.5,11,0,0,education,0
54,52711.3,9680.09,36,611,0.2451,5.8,9,0,0,home_improvement,0
49,28261.37,15227.53,12,540,0.2371,1.3,18,1,0,business,0
54,107164.66,26678.99,12,685,0.634,1.2,15,1,0,debt_consolidation,0
26,82345.58,13329.96,36,548,0.3871,0.7,15,0,1,debt_consolidation,0
40,78031.87,6719.09,12,700,0.4452,5.6,18,0,0,business,0
25,53783.8,8915.58,24,699,0.4398,2.1,15,0,1,education,0
56,74928.78,21293.61,36,678,0.2842,3.6,5,1,2,personal,0
38,90426.39,9633.76,12,677,0.1534,4.5,8,0,0,business,0
49,81464.66,26788.94,12,814,0.2819,0.0,1,0,1,home_improvement,0
51,49654.41,23584.95,60,664,0.3367,0.9,19,0,1,home_improvement,0
50,103558.72,8536.5,24,673,0.7998,2.7,12,0,0,home_improvement,0
27,68120.71,14221.2,12,767,0.3199,0.1,1,0,0,home_improvement,0
56,81979.57,24497.75,36,850,0.4831,2.1,15,0,1,personal,0
62,86014.45,11850.45,24,660,0.1672,3.5,4,0,0,home_improvement,0
58,118293.23,15153.73,24,586,0.406,0.7,15,0,0,personal,0
45,75361.58,22612.74,48,721,0.4545,5.8,4,0,0,home_improvement,0
50,63693.26,27064.8,24,663,0.5808,0.9,18,0,1,debt_consolidation,0
52,112842.81,20252.67,36,667,0.2818,5.1,8,0,0,home_improvement,0
56,92699.83,16175.94,48,536,0.1461,16.5,5,0,0,debt_consolidation,0
54,72652.14,11996.9,60,478,0.0584,1.8,5,0,0,personal,0
42,71077.03,4875.1,48,674,0.5834,6.9,7,1,0,home_improvement,0
53,20000.0,12527.62,60,449,0.1828,2.4,2,3,0,personal,0
44,62813.26,12637.97,48,669,0.7329,12.1,14,1,0,business,0
54,29939.09,20593.54,24,588,0.5982,5.0,18,0,1,business,0
24,20000.0,13628.8,12,650,0.3856,1.6,2,1,0,education,0
39,50101.13,15216.93,60,657,0.3118,9.7,1,0,1,home_improvement,0
46,30463.63,26040.61,60,633,0.1028,4.0,7,0,0,business,0
63,56122.53,15478.14,12,744,0.36,5.5,17,0,0,education,0
52,72701.51,10644.5,24,748,0.1236,2.1,3,1,0,education,0
24,77728.86,5543.36,36,752,0.1117,10.4,12,0,0,personal,0
61,62267.79,11410.16,24,579,0.1799,1.2,17,0,0,debt_consolidation,0
45,32780.23,7405.03,48,785,0.1459,15.7,13,2,0,education,0
53,61971.31,10347.01,24,726,0.2157,0.9,13,0,2,personal,0
43,38356.45,37589.87,24,693,0.512,12.4,17,0,1,personal,0
44,100084.12,12832.55,24,739,0.524,2.5,11,0,1,business,0
23,61309.29,17735.84,12,655,0.3581,0.3,3,1,0,business,0
48,36520.48,30783.85,12,702,0.4449,1.0,1,0,0,home_improvement,0
63,38724.55,7071.94,36,577,0.1324,0.2,16,0,0,home_improvement,0
23,65173.59,18143.16,12,675,0.3463,0.8,6,1,0,debt_consolidation,0
47,66453.87,23890.12,60,722,0.4442,2.3,11,0,0,debt_consolidation,0
38,60161.8,17706.64,48,707,0.2574,5.4,11,1,1,education,0
61,89844.85,11510.07,24,696,0.0995,7.4,6,0,0,business,0
54,40958.68,19355.26,60,638,0.1375,2.7,7,0,1,business,0
30,90089.96,7911.81,12,576,0.6738,1.0,11,1,0,debt_consolidation,0
64,62651.16,13438.47,12,615,0.1213,10.5,3,0,0,home_improvement,0
60,86563.86,2206.84,24,784,0.6187,0.8,12,0,0,personal,1
50,49360.61,19682.27,60,493,0.1527,0.7,16,1,0,education,0
63,84452.94,24878.9,12,601,0.2876,0.9,1,0,1,home_improvement,0
47,44825.23,21346.07,48,622,0.0276,9.4,14,0,1,education,0
56,106183.65,20027.14,24,518,0.4327,3.3,18,0,0,personal,0
46,63000.42,14821.96,36,612,0.1617,11.4,13,1,0,personal,1
45,54229.74,10735.11,48,663,0.1386,0.1,6,0,1,debt_consolidation,1
34,35657.06,3811.24,48,641,0.0206,3.3,6,1,0,business,0
28,69214.88,8015.88,36,611,0.1446,3.0,12,0,0,debt_consolidation,0
57,61284.23,9049.81,60,565,0.4066,13.2,15,0,0,personal,0
41,31573.69,18358.75,12,771,0.3514,0.5,10,0,0,business,0
22,46591.54,24350.2,36,823,0.4364,5.3,9,0,0,debt_consolidation,0
29,20000.0,16593.36,12,703,0.3975,10.2,17,2,0,debt_consolidation,0
37,36757.83,14050.99,12,614,0.5493,0.7,14,0,1,education,0
35,61926.21,29448.26,36,775,0.2833,2.7,4,0,0,business,0
33,73840.04,19126.85,24,610,0.2598,9.3,18,0,1,debt_consolidation,0
44,56905.42,3877.19,60,629,0.1817,3.1,9,0,0,business,0
36,76789.15,14390.84,48,626,0.239,0.3,9,0,0,business,0
49,41034.25,11451.97,48,574,0.2169,3.7,13,0,0,personal,1
55,76094.01,1000.0,36,701,0.3094,0.7,11,0,1,education,0
23,63069.67,24014.78,12,647,0.0607,2.1,1,0,0,education,0
53,59849.78,16517.08,60,725,0.086,5.9,10,0,0,personal,0
44,64910.97,29461.39,12,714,0.2312,1.8,11,1,0,home_improvement,0
43,50018.6,24102.24,12,715,0.1829,4.6,9,0,0,debt_consolidation,0
46,26640.51,10269.2,48,741,0.1201,8.2,15,0,1,education,0
43,38870.68,19045.24,12,757,0.1663,2.3,6,0,0,home_improvement,0
